name,category,description
Polyamorous,Cast,Features a character who is in a consenting relationship with multiple people at one time.
Primarily Animal Cast,Cast-Main Cast,Main cast is mostly composed animal or animal-like characters.
Ensemble Cast,Cast-Main Cast,Features a large cast of characters with (almost) equal screen time and importance to the plot.
Male Protagonist,Cast-Main Cast,Main character is male.
Estranged Family,Cast-Main Cast,At least one family member of the MC intentionally distances themselves or a family distances themselves from a person related to the MC.
Anti-Hero,Cast-Main Cast,Features a protagonist who lacks conventional heroic attributes and may be considered a borderline villain.
Primarily Adult Cast,Cast-Main Cast,Main cast is mostly composed of characters above a high school age.
Female Protagonist,Cast-Main Cast,Main character is female.
Primarily Child Cast,Cast-Main Cast,Main cast is mostly composed of characters below a high school age.
Primarily Female Cast,Cast-Main Cast,Main cast is mostly composed of female characters.
Primarily Teen Cast,Cast-Main Cast,Main cast is mostly composed of teen characters.
Primarily Male Cast,Cast-Main Cast,Main cast is mostly composed of male characters.
Elderly Protagonist,Cast-Main Cast,"The protagonist is either over 60 years of age, has an elderly appearance, or, in the case of non-humans, is considered elderly for their species."
Oiran,Cast-Traits,Prominently features a courtesan character of the Japanese Edo Period.
Nun,Cast-Traits,Prominently features a character who is a nun.
Cyborg,Cast-Traits,Prominently features a human character whose physiological functions are aided or enhanced by artificial means.
Office Lady,Cast-Traits,Prominently features a female office worker or OL.
Delinquents,Cast-Traits,"Features characters with a notorious image and attitude, sometimes referred to as ""yankees""."
Nudity,Cast-Traits,Features a character wearing no clothing or exposing intimate body parts.
Crossdressing,Cast-Traits,Prominently features a character dressing up as the opposite sex.
Orphan,Cast-Traits,Prominently features a character that is an orphan.
Demons,Cast-Traits,Prominently features malevolent otherworldly creatures.
Pirates,Cast-Traits,Prominently features sea-faring adventurers branded as criminals by the law.
Cowboys,Cast-Traits,Features Western or Western-inspired cowboys.
Cosplay,Cast-Traits,Features dressing up as a different character or profession.
Clone,Cast-Traits,Prominently features a character who is an artificial exact copy of another organism.
Chuunibyou,Cast-Traits,"Prominently features a character with ""Middle School 2nd Year Syndrome"", who either acts like a know-it-all adult or falsely believes they have special powers."
Chimera,Cast-Traits,"Features a beast made by combining animals, usually with humans."
Ojou-sama,Cast-Traits,"Features a wealthy, high-class, oftentimes stuck up and demanding female character."
Detective,Cast-Traits,Features a character who investigates and solves crimes.
Dragons,Cast-Traits,Prominently features mythical reptiles which generally have wings and can breathe fire.
Disability,Cast-Traits,"A work that features one or more characters with a physical, mental, cognitive, or developmental condition that impairs, interferes with, or limits the person's ability to engage in certain tasks or actions."
Ghost,Cast-Traits,Prominently features a character who is a ghost.
Goblin,Cast-Traits,"A goblin is a monstrous creature from European folklore. They are almost always small and grotesque, mischievous or outright malicious, and greedy. Sometimes with magical abilities."
Gods,Cast-Traits,Prominently features a character of divine or religious nature.
Gyaru,Cast-Traits,"Prominently features a female character who has a distinct American-emulated fashion style, such as tanned skin, bleached hair, and excessive makeup. Also known as gal."
Hikikomori,Cast-Traits,"Prominently features a character who withdraws from social life, often seeking extreme isolation."
Homeless,Cast-Traits,Prominently features a character that is homeless.
Idol,Cast-Traits,Centers around the life and activities of an idol.
Femboy,Cast-Traits,Features a boy who exhibits characteristics or behaviors considered in many cultures to be typical of girls.
Kemonomimi,Cast-Traits,Prominently features humanoid characters with animal ears.
Dinosaurs,Cast-Traits,"Prominently features Dinosaurs, prehistoric reptiles that went extinct millions of years ago."
Fairy,Cast-Traits,Prominently features a character who is a fairy.
Maids,Cast-Traits,Prominently features a character who is a maid.
Elf,Cast-Traits,Prominently features a character who is an elf.
Mermaid,Cast-Traits,A mythological creature with the body of a human and the tail of a fish.
Monster Boy,Cast-Traits,Prominently features a male character who is a part-monster.
Monster Girl,Cast-Traits,Prominently features a female character who is part-monster.
Dullahan,Cast-Traits,"Prominently features a character who is a Dullahan, a creature from Irish Folklore with a head that can be detached from its main body."
Nekomimi,Cast-Traits,Humanoid characters with cat-like features such as cat ears and a tail.
Ninja,Cast-Traits,"Prominently features Japanese warriors traditionally trained in espionage, sabotage and assasination."
Dissociative Identities,Cast-Traits,A case where one or more people share the same body.
Kuudere,Cast-Traits,"Prominently features a character who generally retains a cold, blunt and cynical exterior, but once one gets to know them, they have a very warm and loving interior."
Centaur,Cast-Traits,Prominently features a character with a human upper body and the lower body of a horse.
Zombie,Cast-Traits,Prominently features reanimated corpses which often prey on live humans and turn them into zombies.
Asexual,Cast-Traits,Features a character who isn't sexually attracted to people of any sex or gender.
Aromantic,Cast-Traits,Features a character who experiences little to no romantic attraction.
Veterinarian,Cast-Traits,Prominently features a veterinarian or one of the main characters is a veterinarian.
Aliens,Cast-Traits,Prominently features extraterrestrial lifeforms.
Vampire,Cast-Traits,Prominently features a character who is a vampire.
Succubus,Cast-Traits,"Prominently features a character who is a succubus, a creature in medieval folklore that typically uses their sexual prowess to trap and seduce people to feed off them."
Tanned Skin,Cast-Traits,Prominently features characters with tanned skin.
Amnesia,Cast-Traits,Prominently features a character(s) with memory loss.
Skeleton,Cast-Traits,Prominently features skeleton(s) as a character.
Teacher,Cast-Traits,"Protagonist is an educator, usually in a school setting."
Tomboy,Cast-Traits,Features a girl who exhibits characteristics or behaviors considered in many cultures to be typical of boys.
Transgender,Cast-Traits,Features a character whose gender identity differs from the sex they were assigned at birth.
Anthropomorphism,Cast-Traits,Contains non-human character(s) that have attributes or characteristics of a human being.
Tsundere,Cast-Traits,Prominently features a character who acts cold and hostile in order to mask warmer emotions.
Robots,Cast-Traits,Prominently features humanoid machines.
Artificial Intelligence,Cast-Traits,Intelligent non-organic machines that work and react similarly to humans.
Arranged Marriage,Cast-Traits,"Features two characters made to marry each other, usually by their family."
Angels,Cast-Traits,Prominently features spiritual beings usually represented with wings and halos and believed to be attendants of God.
Shrine Maiden,Cast-Traits,Prominently features a character who is a shrine maiden.
Vikings,Cast-Traits,Prominently features Scandinavian seafaring pirates and warriors.
Villainess,Cast-Traits,Centers around or prominently features a villainous noble lady.
Yandere,Cast-Traits,"Prominently features a character who is obsessively in love with another, to the point of acting deranged or violent."
Butler,Cast-Traits,Prominently features a character who is a butler.
Witch,Cast-Traits,Prominently features a character who is a witch.
Samurai,Cast-Traits,Prominently features warriors of medieval Japanese nobility bound by a code of honor.
Werewolf,Cast-Traits,Prominently features a character who is a werewolf.
VTuber,Cast-Traits,Prominently features a character who is either an actual or fictive VTuber.
Age Regression,Cast-Traits,Prominently features a character who was returned to a younger state.
Twins,Cast-Traits,Prominently features two or more siblings that were born at one birth.
Agender,Cast-Traits,Prominently features agender characters.
Shoujo,Demographic,Target demographic is teenage and young adult females.
Shounen,Demographic,Target demographic is teenage and young adult males.
Josei,Demographic,Target demographic is adult females.
Kids,Demographic,Target demographic is young children.
Seinen,Demographic,Target demographic is adult males.
Matriarchy,Setting,Prominently features a country that is ruled by a Queen or a society that is dominated by female inheritance.
Inn,Setting-Scene,Partially or completely set in an Inn or Hotel.
Dungeon,Setting-Scene,Prominently features a dungeon environment.
Urban,Setting-Scene,Partly or completely set in a city.
